,from_id,option,first_departure_time,total_wait_time,number_of_transfers,final_arrival_time,total_time (min),to_id
49,1,49,05/02/2024 10:37,4.4,0,05/02/2024 11:03,27.82,0
50,1,50,05/02/2024 10:37,7.72,1,05/02/2024 11:03,31.14,0
51,1,51,05/02/2024 10:37,1.17,0,05/02/2024 11:03,24.59,0
52,1,52,05/02/2024 10:37,1.25,0,05/02/2024 11:03,24.67,0
53,1,53,05/02/2024 10:37,7.9,0,05/02/2024 11:03,31.32,0
54,1,54,05/02/2024 10:37,4.63,1,05/02/2024 11:03,28.05,0
55,1,55,05/02/2024 10:37,1.37,0,05/02/2024 11:03,24.79,0
56,1,56,05/02/2024 10:37,4.75,0,05/02/2024 11:03,28.17,0
57,1,57,05/02/2024 10:37,8.08,2,05/02/2024 11:03,31.5,0
58,1,58,05/02/2024 10:37,6.77,0,05/02/2024 11:03,30.19,0
59,1,59,05/02/2024 10:37,1.58,0,05/02/2024 11:03,25,0
60,1,60,05/02/2024 10:39,3.97,1,05/02/2024 11:03,22.96,0
61,2,0,0,0,1,,38.92,0
62,2,1,05/02/2024 10:37,4.65,4,05/02/2024 11:01,27.32,0
63,2,2,05/02/2024 10:37,1.38,2,05/02/2024 11:01,24.05,0
64,2,3,05/02/2024 10:31,4.02,3,05/02/2024 11:01,30.67,0
65,2,4,05/02/2024 10:37,4.77,2,05/02/2024 11:01,27.44,0
66,2,5,05/02/2024 10:37,1.58,1,05/02/2024 11:01,24.25,0
67,2,6,05/02/2024 10:31,4.22,0,05/02/2024 11:01,30.87,0
68,2,7,05/02/2024 10:37,1.67,0,05/02/2024 11:01,24.34,0
69,2,8,05/02/2024 10:31,1.02,3,05/02/2024 11:01,27.67,0
70,2,9,05/02/2024 10:39,2.3,1,05/02/2024 11:01,21.15,0
71,2,10,05/02/2024 10:37,1.78,2,05/02/2024 11:01,24.45,0
72,2,11,05/02/2024 10:37,1.87,0,05/02/2024 11:01,24.54,0
73,2,12,05/02/2024 10:31,1.25,1,05/02/2024 11:01,27.9,0
74,2,13,05/02/2024 10:39,2.52,2,05/02/2024 11:01,21.37,0
75,2,14,05/02/2024 10:37,2.05,0,05/02/2024 11:01,24.72,0
76,2,15,05/02/2024 10:39,2.6,0,05/02/2024 11:01,21.45,0
77,2,16,05/02/2024 10:37,2.2,0,05/02/2024 11:01,24.87,0
78,2,17,05/02/2024 10:31,1.53,0,05/02/2024 11:01,28.18,0
79,2,18,05/02/2024 10:37,2.32,0,05/02/2024 11:01,24.99,0
80,2,19,05/02/2024 10:31,1.68,2,05/02/2024 11:01,28.33,0
81,2,20,05/02/2024 10:37,2.47,3,05/02/2024 11:01,25.14,0
82,2,21,05/02/2024 10:39,1.2,0,05/02/2024 11:01,21.87,0
83,2,22,05/02/2024 10:31,1.88,0,05/02/2024 11:01,28.53,0
84,2,23,05/02/2024 10:37,2.68,2,05/02/2024 11:01,25.35,0
85,2,24,05/02/2024 10:39,1.42,1,05/02/2024 11:01,22.09,0
86,2,25,05/02/2024 10:31,2.12,0,05/02/2024 11:01,28.77,0
87,2,26,05/02/2024 10:39,1.57,3,05/02/2024 11:01,22.24,0
88,2,27,05/02/2024 10:37,2.92,0,05/02/2024 11:01,25.59,0
89,2,28,05/02/2024 10:31,2.28,0,05/02/2024 11:01,28.93,0
90,2,29,05/02/2024 10:39,1.73,0,05/02/2024 11:01,22.4,0
91,2,30,05/02/2024 10:37,3.12,2,05/02/2024 11:01,25.79,0
92,2,31,05/02/2024 10:39,1.85,0,05/02/2024 11:01,22.52,0
93,2,32,05/02/2024 10:37,3.2,0,05/02/2024 11:01,25.87,0
94,2,33,05/02/2024 10:39,2.05,0,05/02/2024 11:01,22.72,0
95,2,34,05/02/2024 10:31,2.67,0,05/02/2024 11:01,29.32,0
96,2,35,05/02/2024 10:37,3.4,1,05/02/2024 11:01,26.07,0
97,2,36,05/02/2024 10:31,2.77,1,05/02/2024 11:01,29.42,0
98,2,37,05/02/2024 10:39,2.25,1,05/02/2024 11:01,22.92,0
99,2,38,05/02/2024 10:37,3.57,2,05/02/2024 11:01,26.24,0
100,2,39,05/02/2024 10:31,2.93,0,05/02/2024 11:01,29.58,0
101,2,40,05/02/2024 10:39,2.77,3,05/02/2024 11:01,21.62,0
102,2,41,05/02/2024 10:31,1.35,1,05/02/2024 11:01,28,0
103,2,42,05/02/2024 10:39,2.47,0,05/02/2024 11:01,23.14,0
104,2,43,05/02/2024 10:37,3.77,3,05/02/2024 11:01,26.44,0
105,2,44,05/02/2024 10:31,3.13,0,05/02/2024 11:01,29.78,0
106,2,45,05/02/2024 10:39,2.57,4,05/02/2024 11:01,23.24,0
107,2,46,05/02/2024 10:37,3.9,2,05/02/2024 11:01,26.57,0
108,2,47,05/02/2024 10:39,2.7,1,05/02/2024 11:01,23.37,0
109,2,48,05/02/2024 10:31,3.3,0,05/02/2024 11:01,29.95,0
110,2,49,05/02/2024 10:37,4.12,1,05/02/2024 11:01,26.79,0
111,2,50,05/02/2024 10:31,3.45,1,05/02/2024 11:01,30.1,0
112,2,51,05/02/2024 10:39,2.88,0,05/02/2024 11:01,23.55,0
113,2,52,05/02/2024 10:39,2.97,0,05/02/2024 11:01,23.64,0
114,2,53,05/02/2024 10:31,3.63,3,05/02/2024 11:01,30.28,0
115,2,54,05/02/2024 10:37,4.35,1,05/02/2024 11:01,27.02,0
116,2,55,05/02/2024 10:37,1.08,0,05/02/2024 11:01,23.75,0
117,2,56,05/02/2024 10:37,4.47,0,05/02/2024 11:01,27.14,0
118,2,57,05/02/2024 10:31,3.82,2,05/02/2024 11:01,30.47,0
119,2,58,05/02/2024 10:31,2.5,0,05/02/2024 11:01,29.15,0
120,2,59,05/02/2024 10:37,1.3,0,05/02/2024 11:01,23.97,0
121,2,60,05/02/2024 10:39,1.1,1,05/02/2024 11:01,21.77,0
122,3,0,0,0,1,,8.98,0
123,3,1,05/02/2024 10:31,1.42,4,05/02/2024 10:57,22.35,0
124,3,2,05/02/2024 10:39,7.23,0,05/02/2024 11:04,26.95,0
125,3,3,05/02/2024 10:30,1.95,1,05/02/2024 10:46,15.66,0
126,3,4,05/02/2024 10:31,1.53,4,05/02/2024 10:57,22.46,0
127,3,5,05/02/2024 10:39,7.43,1,05/02/2024 11:04,27.15,0
128,3,6,05/02/2024 10:30,2.15,0,05/02/2024 10:46,15.86,0
129,3,7,05/02/2024 10:39,7.52,0,05/02/2024 11:04,27.24,0
130,3,8,05/02/2024 10:31,1.77,0,05/02/2024 10:57,22.7,0
131,3,9,05/02/2024 10:39,4.33,2,05/02/2024 11:04,24.05,0
132,3,10,05/02/2024 10:39,7.63,0,05/02/2024 11:04,27.35,0
133,3,11,05/02/2024 10:39,7.72,1,05/02/2024 11:04,27.44,0
134,3,12,05/02/2024 10:31,2,0,05/02/2024 10:57,22.93,0
135,3,13,05/02/2024 10:39,4.55,2,05/02/2024 11:04,24.27,0
136,3,14,05/02/2024 10:39,7.9,0,05/02/2024 11:04,27.62,0
137,3,15,05/02/2024 10:39,4.63,2,05/02/2024 11:04,24.35,0
138,3,16,05/02/2024 10:39,8.05,1,05/02/2024 11:04,27.77,0
139,3,17,05/02/2024 10:31,2.28,1,05/02/2024 10:57,23.21,0
140,3,18,05/02/2024 10:39,8.17,2,05/02/2024 11:04,27.89,0
141,3,19,05/02/2024 10:31,2.43,2,05/02/2024 10:57,23.36,0
142,3,20,05/02/2024 10:39,8.32,0,05/02/2024 11:04,28.04,0
143,3,21,05/02/2024 10:39,5.05,1,05/02/2024 11:04,24.77,0
144,3,22,05/02/2024 10:31,2.63,0,05/02/2024 10:57,23.56,0
145,3,23,05/02/2024 10:34,1.15,1,05/02/2024 10:59,22.64,0
146,3,24,05/02/2024 10:39,5.27,2,05/02/2024 11:04,24.99,0
147,3,25,05/02/2024 10:31,2.87,1,05/02/2024 10:57,23.8,0
148,3,26,05/02/2024 10:39,5.42,2,05/02/2024 11:04,25.14,0
149,3,27,05/02/2024 10:34,1.38,0,05/02/2024 10:59,22.87,0
150,3,28,05/02/2024 10:31,3.03,4,05/02/2024 10:57,23.96,0
151,3,29,05/02/2024 10:39,5.58,0,05/02/2024 11:04,25.3,0
152,3,30,05/02/2024 10:34,1.58,2,05/02/2024 10:59,23.07,0
153,3,31,05/02/2024 10:39,5.7,1,05/02/2024 11:04,25.42,0
154,3,32,05/02/2024 10:34,1.67,0,05/02/2024 10:59,23.16,0
155,3,33,05/02/2024 10:39,5.9,2,05/02/2024 11:04,25.62,0
156,3,34,05/02/2024 10:31,3.42,0,05/02/2024 10:57,24.35,0
157,3,35,05/02/2024 10:34,1.87,2,05/02/2024 10:59,23.36,0
158,3,36,05/02/2024 10:31,3.52,0,05/02/2024 10:57,24.45,0
159,3,37,05/02/2024 10:39,6.1,3,05/02/2024 11:04,25.82,0
160,3,38,05/02/2024 10:34,2.03,3,05/02/2024 10:59,23.52,0
161,3,39,05/02/2024 10:31,3.68,0,05/02/2024 10:57,24.61,0
162,3,40,05/02/2024 10:39,4.8,1,05/02/2024 11:04,24.52,0
163,3,41,05/02/2024 10:31,2.1,1,05/02/2024 10:57,23.03,0
